INSPECT|database=C:\Users\DONG\AppData\Local\Temp\pf06-round4-init-sequence-d682e867ac764d6e8f70579afa634916\standalone.db|table-count=109
TABLE|collaboration_chat_attachment|rows=0
TABLE|collaboration_compliance_command|rows=0
TABLE|collaboration_compliance_disposition|rows=0
TABLE|collaboration_compliance_export|rows=0
TABLE|collaboration_compliance_preparation|rows=0
TABLE|collaboration_compliance_view_budget|rows=0
TABLE|collaboration_conversation|rows=0
TABLE|collaboration_conversation_member|rows=0
TABLE|collaboration_event_inbox|rows=0
TABLE|collaboration_legal_hold_case|rows=0
TABLE|collaboration_message|rows=0
TABLE|collaboration_message_personal_visibility|rows=0
TABLE|collaboration_messaging_deduplication|rows=0
TABLE|collaboration_outbox_message|rows=0
TABLE|collaboration_remote_assistance_session|rows=0
TABLE|collaboration_remote_assistance_voice_call|rows=0
TABLE|collaboration_remote_assistance_voice_slot|rows=0
TABLE|collaboration_retention_checkpoint|rows=0
TABLE|collaboration_retention_policy|rows=0
TABLE|collaboration_schema_migrations|rows=13
TABLE|identity_bootstrap_credential|rows=0
TABLE|identity_login_audit|rows=0
TABLE|identity_operation_audit|rows=0
TABLE|identity_outbox|rows=0
TABLE|identity_permission|rows=149
TABLE|identity_refresh_session|rows=0
TABLE|identity_role|rows=1
TABLE|identity_role_permission|rows=149
TABLE|identity_schema_migrations|rows=24
TABLE|identity_seed_ledger|rows=2
TABLE|identity_sso_browser_session|rows=0
TABLE|identity_sso_client|rows=0
TABLE|identity_sso_client_endpoint|rows=0
TABLE|identity_sso_external_account|rows=0
TABLE|identity_sso_provider|rows=0
TABLE|identity_user|rows=0
TABLE|identity_user_group|rows=0
TABLE|identity_user_group_membership|rows=0
TABLE|identity_user_group_role|rows=0
TABLE|identity_user_role|rows=0
TABLE|identity_write_idempotency|rows=0
TABLE|pf05_service_call_nonce|rows=0
TABLE|pf05_step_up_grant|rows=0
TABLE|reference_data_cache_generation|rows=0
TABLE|reference_data_coding_rule_definition|rows=0
TABLE|reference_data_coding_rule_idempotency_record|rows=0
TABLE|reference_data_coding_rule_sequence|rows=0
TABLE|reference_data_dictionary_definition|rows=0
TABLE|reference_data_dictionary_item|rows=0
TABLE|reference_data_dynamic_property_definition|rows=0
TABLE|reference_data_dynamic_property_field|rows=0
TABLE|reference_data_dynamic_property_record|rows=0
TABLE|reference_data_dynamic_property_value|rows=0
TABLE|reference_data_metadata_attribute_definition|rows=0
TABLE|reference_data_metadata_entity_schema|rows=0
TABLE|reference_data_outbox_message|rows=0
TABLE|reference_data_parameter_app_domain|rows=0
TABLE|reference_data_parameter_history|rows=0
TABLE|reference_data_parameter_key|rows=0
TABLE|reference_data_parameter_multi_value|rows=0
TABLE|reference_data_schema_migrations|rows=11
TABLE|reference_data_seed_ledger|rows=2
TABLE|reference_data_state_machine_definition|rows=0
TABLE|reference_data_state_machine_node|rows=0
TABLE|reference_data_state_machine_transition|rows=0
TABLE|reference_data_unit_of_measure_dimension|rows=6
TABLE|reference_data_unit_of_measure_unit|rows=12
TABLE|system_audit_fact|rows=0
TABLE|system_audit_ingress_failure|rows=0
TABLE|system_audit_lifecycle|rows=0
TABLE|system_audit_outbox|rows=0
TABLE|system_collaboration_file_hold|rows=0
TABLE|system_collaboration_file_reference|rows=0
TABLE|system_data_database_approval|rows=0
TABLE|system_data_database_backup_evidence|rows=0
TABLE|system_data_database_environment_policy|rows=0
TABLE|system_data_database_migration_observation|rows=0
TABLE|system_data_database_operation|rows=0
TABLE|system_data_database_operation_step|rows=0
TABLE|system_data_database_plan|rows=0
TABLE|system_data_database_plan_step|rows=0
TABLE|system_data_database_registration|rows=0
TABLE|system_data_feature|rows=1
TABLE|system_data_feature_override|rows=0
TABLE|system_data_module_manifest|rows=3
TABLE|system_data_navigation|rows=9
TABLE|system_data_navigation_set|rows=1
TABLE|system_data_navigation_snapshot|rows=0
TABLE|system_data_operation_audit|rows=1
TABLE|system_data_organization|rows=0
TABLE|system_data_outbox|rows=1
TABLE|system_data_position|rows=0
TABLE|system_data_projection_revision|rows=1
TABLE|system_data_schema_migrations|rows=58
TABLE|system_data_seed_ledger|rows=9
TABLE|system_data_seed_observation|rows=0
TABLE|system_data_service_catalog|rows=1
TABLE|system_data_theme_policy|rows=1
TABLE|system_data_ui_resource|rows=33
TABLE|system_data_user_assignment|rows=0
TABLE|system_file_object|rows=0
TABLE|system_file_reference_grant|rows=0
TABLE|system_file_scan_attempt|rows=0
TABLE|system_file_status_outbox|rows=0
TABLE|system_file_upload_session|rows=0
TABLE|system_notification_announcement|rows=0
TABLE|system_notification_inbox_delivery|rows=0
TABLE|system_notification_message|rows=0
TABLE|system_trusted_service_call_nonce|rows=0
